epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
19,7.2770943102382475,6.518961140087673,9762344,1.629740339770381,0.46228328985827316,0.010504053639514066,5.346268440995898,0.7732674436909812,0.07759051024913788,0.18410021385976247,0.18583492934703827,0.5717656782695225,0.9447202427046639,0.7481818880353656,0.4974051330770765,0.04387246152119977,0.14184889835970743,-1.1047451070376806
20,5.089976038251605,5.703455686569214,9762344,1.4258639907597432,0.4516722080962999,0.02891357296279501,4.4952645642416815,0.7209459543228149,0.06049793745790209,0.17263888354812348,0.1822160163096019,0.600755112511771,0.9919709648404803,0.760870099067688,0.48192527890205383,0.04358155040868691,0.14265676268509456,-1.027524037020547
21,4.865386794010798,5.541485394750323,9762344,1.3853713709062765,0.46131317211048944,0.07681678767715183,4.257018029689789,0.7371664600712913,0.17003354004451207,0.15530565913234437,0.17697957158088684,0.6472169160842896,1.0861036777496338,0.7899592348507473,0.4443962574005127,0.04305811705333846,0.14114742193903243,-0.954379562820707
22,4.443588911067872,5.162003227642605,9762344,1.2905007950030265,0.4556568826415709,0.14827097952365875,3.81154602766037,0.6965375755514417,0.2688766121864319,0.15531565994024277,0.17934332149369375,0.6478313548224313,1.1544188346181596,0.8132959859711784,0.41716634801455904,0.04072265779333455,0.1334506475499698,-0.7407903969287872
23,3.8192281609489807,5.123288290841239,9762344,1.28082209918648,0.4525623388056244,0.14638570163931164,3.7847481284822737,0.6917500581060138,0.17979454142706736,0.16473610486303056,0.18402674155575888,0.6275018623897007,1.134249516895839,0.8045266781534467,0.42621848412922453,0.039554646504776816,0.12994587740727834,-0.647972081388746
24,3.696957403705234,5.205233131136213,9762344,1.3013082614966802,0.4506327089454447,0.13391122328383578,3.943573611123221,0.7161198811871665,0.04358329517500741,0.1713093923670905,0.18662572545664652,0.6161081961223057,1.0518915908677238,0.7727263144084385,0.4601881078311375,0.038458451628685,0.12705891472952707,-0.5842347059931073
25,3.7256984476532256,5.129593253135681,9762344,1.2823982941918075,0.442059704501714,0.141569300953831,3.9624781693731035,0.7220120344843183,-0.02786646144730704,0.17234625348023005,0.1858235682759966,0.6179258227348328,0.9578146083014352,0.7366782171385629,0.4973162157194955,0.03695414561246123,0.12372499810797828,-0.5210983731916973
26,3.636872870581491,4.929658583232334,9762344,1.232414659112692,0.43102406710386276,0.15946920375738824,3.838341806616102,0.707960946219308,-0.02412583146776472,0.16951604400362288,0.18357978548322404,0.6270286440849304,0.8859589525631496,0.7107763247830527,0.5236904578549522,0.03584183326789311,0.12177921192986625,-0.4887164554425648
27,3.494299828296616,4.741029603140695,9762344,1.1852573497620011,0.42231064662337303,0.18508447280951912,3.6996465155056546,0.6919375956058502,0.02114622507776533,0.1640265860727855,0.18050404957362584,0.6391949142728534,0.842373422213963,0.6965364217758179,0.5384046605655125,0.034982875255601745,0.1202645195381982,-0.4584079086780548
28,3.4073255012432733,4.615112168448312,9762344,1.1537780330649445,0.4171730447560549,0.20476282600845608,3.6071787561689104,0.6820093308176313,0.07237430129732404,0.1566090945686613,0.17671199994427816,0.6542743188994271,0.8171561190060207,0.6904628532273429,0.5469974194254194,0.034168162516185215,0.11950799503496715,-0.45459473558834623
