epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
1,41.79977290970938,31.722238779067993,9762344,7.930559644475579,1.0035244082765922,-2.154690415731498,28.293868115970067,2.1653159856796265,-3.4293029734066556,0.2408018218619483,0.2643542779343469,0.431932304586683,3.0822533709662303,1.3312848976680212,-0.43612327320235117,0.10531526910407203,0.2531424718243735,-5.185267720903669
2,40.427772453853066,30.767017602920532,9762344,7.691754362013723,0.9537814669311048,-1.485628747514316,27.87065291404724,2.1314221961157664,-3.3339705786534717,0.23257938027381897,0.23803258580820902,0.4543648787907192,2.5811764342444286,1.2355527537209647,-0.21247525938919612,0.08260871948940414,0.21011833207947866,-2.850434030805315
3,39.25032254627773,29.921444586345128,9762344,7.48036106822214,0.9171797657119377,-1.197509407464947,27.425477061952865,2.105044288294656,-3.23391346846308,0.22630123155457632,0.22655050456523895,0.4716729777199881,2.19877484866551,1.1528239675930567,-0.04385844511645181,0.0708911307156086,0.18430030239479883,-1.9839386940002441
4,38.187011420726776,29.144442013331822,9762344,7.286110564001969,0.8928737587162427,-1.1266139586056982,26.960966757365636,2.0875849553516934,-3.132980623415538,0.22063085436820984,0.2263731552021844,0.4871934141431536,1.8959433351244246,1.0787312388420105,0.08849544184548515,0.06690130914960589,0.17880568546908243,-1.9491640669958932
5,37.18941597711472,28.428175108773367,9762344,7.107043658649284,0.8708714611296142,-1.0682862411652292,26.49257758685521,2.0688744953700473,-3.0340956960405623,0.2156402404819216,0.2275431752204895,0.5004888347217015,1.6555285964693343,1.0118109158107214,0.19273392217499868,0.06442821079066821,0.17525725811719894,-1.932272025517055
6,36.256029111998416,27.744374104908534,9762344,6.9360936445051,0.8485944888421468,-0.9676360264420509,26.000777976853506,2.0472760711397444,-2.93345639535359,0.21097653678485326,0.224407468523298,0.5129790731838771,1.470636146409171,0.9527614031519208,0.27244355423109873,0.061983917972871234,0.16993301255362375,-1.7225103378295898
7,35.32576711972554,27.059290102549962,9762344,6.76482253415244,0.8274827056697436,-0.8701534207378115,25.4574100119727,2.0239097561155046,-2.8209662352289473,0.2060380152293614,0.21829309633799962,0.5268019224916186,1.335441998073033,0.9018664530345372,0.3307324094431741,0.06040011133466448,0.16586151719093323,-1.5171817796570914
8,34.355398510183605,26.33778258732387,9762344,6.584445833228528,0.8080428934523038,-0.7934295577662331,24.838872688157217,1.999173070703234,-2.6983426298413957,0.2009249201842717,0.21105149388313293,0.5416616329124996,1.239183213029589,0.8593561734472003,0.37264004349708557,0.05880251154303551,0.16259083577564784,-1.389677277633122
9,33.299080380371635,25.559977735791886,9762344,6.38999429850706,0.7905003234211888,-0.7346074421490942,24.13540393965585,1.9721974389893668,-2.566969803401402,0.19638648629188538,0.20470304787158966,0.5557453632354736,1.1714315584727697,0.8254691788128444,0.4026529576097216,0.0567552096077374,0.15963162801095418,-1.3298582860401698
10,32.135357178392866,24.68399718829564,9762344,6.17099921112614,0.7754609337342637,-0.6870697593050343,23.31231246675764,1.9410133021218436,-2.4237432458571027,0.1920915458883558,0.20163363005433763,0.569637907402856,1.1249253409249442,0.8018020817211696,0.42374337571007864,0.05466749093362263,0.15739472103970392,-1.3179170744759696
11,30.79749994618552,23.66313225882394,9762344,5.91578309104911,0.7608164258833443,-0.6401193019534861,22.329863599368505,1.9020954540797643,-2.260247683950833,0.1860526544707162,0.19809784420898982,0.5869599751063755,1.0942953143801009,0.7873318706239972,0.4379967876843044,0.05292079597711563,0.15574053462062562,-1.3251862866537911
12,29.226978472300935,22.443133320127213,9762344,5.610783171041735,0.7438667743865933,-0.5784822574683599,21.14091546194894,1.8508811507906233,-2.0667846628597806,0.17643427848815918,0.19277323143822805,0.6105060662542071,1.074413503919329,0.7780765295028687,0.4471857930932726,0.05136943981051445,0.15373618581465312,-1.3048362263611384
13,27.35086736508778,20.962157487869263,9762344,5.240539428112763,0.7228385944451604,-0.49751002607601036,19.687922154154098,1.7837951694216048,-1.8302114201443536,0.16346290920461928,0.18548242109162466,0.6385567699159894,1.0610483629362923,0.771183465208326,0.45287827934537617,0.049724286156041284,0.1508933220590864,-1.2512637334210532
14,25.082355714979627,19.170908076422556,9762344,4.792727077912007,0.6969618621681418,-0.39764465870601784,17.920007058552333,1.6978676404271806,-1.5388507779155458,0.15393146978957312,0.17869279214314052,0.6596433350018093,1.0492088794708252,0.7647132277488708,0.4569369001047952,0.04776090383529663,0.14657378835337503,-1.16830809201513
15,22.331229337624144,17.09620761871338,9762344,4.274051832966506,0.6665670520492962,-0.3050396921379225,15.856510051659175,1.5879345961979456,-1.2067038246563502,0.15510716608592443,0.17844280174800328,0.6596195782933917,1.0382313302585058,0.7575635995183673,0.4602640909808023,0.04635878386242049,0.14232721073286875,-1.1333386131695338
16,19.051053505568277,14.874067272458758,9762344,3.718516725714186,0.627885428922517,-0.24177726890359608,13.641429858548301,1.4410826393536158,-0.8745501296860831,0.1670603326388768,0.17939876658575876,0.6347948653357369,1.0193339501108443,0.7505646603448051,0.4663484649998801,0.04624276155872004,0.14049564940588816,-1.1937022762639182
17,15.286544161183492,12.605014630726405,9762344,3.151253666462643,0.5794974807649851,-0.18317043568406788,11.397217077868325,1.2530786522797175,-0.570906115429742,0.18694823128836496,0.17988012305327825,0.5904627868107387,0.9744171159608024,0.7449125732694354,0.4814981520175934,0.04643224073307855,0.14011857445750917,-1.2337365661348616
18,11.29098259125437,9.985778110367912,9762344,2.496444472178285,0.5223607905209064,-0.09518360080463548,8.803333640098572,1.025035240820476,-0.25567071991307394,0.1928923800587654,0.18171762781483786,0.5665841613497052,0.9438105395862034,0.7420446191515241,0.49443874614579336,0.045741328969597816,0.14064567429678781,-1.1860865908009666
19,7.605698339995883,7.161454047475543,9762344,1.7903635152615607,0.4653943098549332,-0.010298965232712842,5.978085892541068,0.7893470014844622,0.013904867427689689,0.18700372214828218,0.18517434384141648,0.5696709092174258,0.9522083827427456,0.7458247031484332,0.49552627972194124,0.04415606361414705,0.14123119094542094,-1.1202979172979082
20,5.270030403421039,5.7946692023958475,9762344,1.4486672338763518,0.4488462662058217,0.044962975595678606,4.586961584431784,0.7139572245734078,0.07740615946905953,0.17269620831523622,0.18202513669218337,0.6029596201011113,0.9919576900345939,0.7587507196835109,0.4830483113016401,0.04305345272379262,0.14065198387418473,-0.9835621884890965
