split,circuit,epoch,time-time,num_nodes-num_nodes,mse-AT,mse-slew,mse-netdelay,mse-celldelay,r2-AT,r2-slew,r2-netdelay,r2-celldelay,flattenR2-AT,flattenR2-slew,flattenR2-netdelay,flattenR2-celldelay,model
test,data/8_rat/aes192.graph.bin,-1.0,0.7976925373077393,234211.0,171.69204711914062,1.0093969106674194,2.3907907009124756,0.24197164177894592,-37.20404052734375,-1.8035120964050293,-0.36221516132354736,-19.450969696044922,-2.3034231662750244,-0.6969777345657349,-0.3593696355819702,-3.576460838317871,PreRoutGNN
test,data/8_rat/jpeg_encoder.graph.bin,-1.0,0.7612471580505371,238216.0,216.3369903564453,1.3794043064117432,3.629676103591919,0.2303484082221985,-30.477371215820312,-2.976527452468872,-0.2857225239276886,-22.103914260864258,-2.3873672485351562,-1.279127836227417,-0.28312039375305176,-3.8980302810668945,PreRoutGNN
test,data/8_rat/spm.graph.bin,-1.0,0.09162688255310059,1121.0,5.163236141204834,0.5762985944747925,1.149903655052185,0.11053615063428879,-3.566709041595459,-0.593010425567627,-0.335475355386734,-7.528299808502197,-2.569303274154663,0.1276988983154297,-0.3710603713989258,-1.6868927478790283,PreRoutGNN
test,data/8_rat/synth_ram.graph.bin,-1.0,0.13370084762573242,25910.0,152.2030029296875,1.4665191173553467,4.176940441131592,0.24682724475860596,-3.486992120742798,-1.3219542503356934,-0.1085728108882904,-4.525655269622803,-2.305379867553711,-0.6370575428009033,-0.1080700159072876,-1.4370827674865723,PreRoutGNN
test,data/8_rat/usbf_device.graph.bin,-1.0,0.5279059410095215,66345.0,71.94982147216797,1.041425347328186,2.034510850906372,0.17310065031051636,-19.32726287841797,-1.4229106903076172,-0.16610854864120483,-8.729681015014648,-2.819315195083618,-0.5958547592163086,-0.1654142141342163,-2.3236629962921143,PreRoutGNN
test,data/8_rat/xtea.graph.bin,-1.0,0.5107038021087646,10213.0,57.426448822021484,1.0946346521377563,1.96412992477417,0.18345928192138672,-1.3364710807800293,-1.3221023082733154,-0.1552429348230362,-10.097038269042969,-0.8138080835342407,-0.45793890953063965,-0.15356886386871338,-2.323997974395752,PreRoutGNN
test,data/8_rat/y_huff.graph.bin,-1.0,0.29481983184814453,48216.0,36.35435104370117,1.4173108339309692,3.826014995574951,0.20693309605121613,-12.540151596069336,-1.3414579629898071,-0.09539580345153809,-7.119973182678223,-3.1153564453125,-0.5926679372787476,-0.09492194652557373,-2.048574924468994,PreRoutGNN
test,data/8_rat/aes192.graph.bin,10.0,0.6646220684051514,234211.0,14.665999412536621,9.314255714416504,4.658767223358154,0.12359398603439331,-18.261005401611328,-30.127582550048828,-1.6396548748016357,-16.311609268188477,0.7178203463554382,-14.658940315246582,-1.6489086151123047,-1.3375592231750488,PreRoutGNN
test,data/8_rat/jpeg_encoder.graph.bin,10.0,0.6289684772491455,238216.0,16.160497665405273,9.656630516052246,3.542145252227783,0.11136142909526825,-12.288678169250488,-28.9403133392334,-0.24953798949718475,-19.73138427734375,0.7469617128372192,-14.955218315124512,-0.25217747688293457,-1.3679418563842773,PreRoutGNN
test,data/8_rat/spm.graph.bin,10.0,0.05966639518737793,1121.0,8.986242294311523,0.6889474987983704,0.657635509967804,0.11594270914793015,-7.904341697692871,-0.6686782836914062,0.2052234709262848,-8.557150840759277,-5.212116718292236,-0.042809486389160156,0.21588391065597534,-1.818314552307129,PreRoutGNN
