epoch,train_loss,test_loss,comm_cost,mse,mae,r2,mse-AT,mae-AT,r2-AT,mse-slew,mae-slew,r2-slew,mse-netdelay,mae-netdelay,r2-netdelay,mse-celldelay,mae-celldelay,r2-celldelay
1,41.79977293809255,31.722238779067993,9762344,7.930559653256621,1.0035244125340665,-2.1546904758683274,28.293868115970067,2.1653159856796265,-3.4293030074664523,0.2408018261194229,0.26435427367687225,0.431932304586683,3.082253405026027,1.3312849146979195,-0.43612327533108847,0.10531526591096606,0.25314247608184814,-5.185267925262451
2,40.427691760517305,30.767007895878383,9762344,7.691752060582594,0.9537788890302181,-1.4855781506214822,27.870654242379324,2.13141907112939,-3.333970240184239,0.23257953992911748,0.23803140223026276,0.4543645339352744,2.581167527607509,1.2355505738939558,-0.21247078691210067,0.08260693241442953,0.2101145088672638,-2.850236109324864
3,39.25024852298555,29.921432869774954,9762344,7.4803582070661445,0.9171785528638534,-1.1974803635052274,27.425484572138107,2.10504435641425,-3.2339132768767223,0.2263020042862211,0.226554736495018,0.47167119809559416,2.1987578528267995,1.152819071497236,-0.043849442686353414,0.07088839901345116,0.1842960470489093,-1.9838299325534277
4,38.18695448126112,29.144440616880143,9762344,7.2861101781683315,0.8928767533174583,-1.1266674064099789,26.96098702294486,2.087592499596732,-3.132982607398714,0.2206327681030546,0.226383952157838,0.48718857765197754,1.8959216390337263,1.0787238478660583,0.08850732232843127,0.06689928259168353,0.1788067136492048,-1.94938291822161
5,37.189381173678804,28.42818079675947,9762344,7.107045315339098,0.8708760498889856,-1.0683489303503717,26.492608462061202,2.0688836063657488,-3.034099353211267,0.21564300145421708,0.22756250841276987,0.5004810094833374,1.6555050441196986,1.0118013875825065,0.19274719272341048,0.06442475372127124,0.17525669719491685,-1.9325245703969682
6,36.25601841438384,27.744398253304617,9762344,6.936099365020969,0.8485965084816728,-0.9676087551883288,26.00082904951913,2.0472833769662038,-2.9334623217582703,0.2109788613659995,0.22442848767553056,0.5129714267594474,1.4706125259399414,0.9527496950966972,0.272457765681403,0.061977023258805275,0.16992447418825968,-1.7224018914358956
7,35.32578858591262,27.059341498783656,9762344,6.764835380483419,0.8274816067091056,-0.8700481035879681,25.457486050469534,2.023916091237749,-2.8209745415619443,0.20603926266942704,0.2183099580662591,0.5267971328326634,1.3354253939219884,0.9018538253647941,0.33074420264789034,0.06039081487272467,0.16584655216761998,-1.5167592082704817
8,34.355468551317855,26.337880270821707,9762344,6.584470022137144,0.8080382557319743,-0.793295256793499,24.838986209460668,1.99917756659644,-2.698356343167169,0.2009268615927015,0.21106036646025522,0.5416573200907026,1.2391751834324427,0.8593423111098153,0.37264769417898996,0.05879183406276362,0.16257277876138687,-1.3891296982765198
9,33.299216548601784,25.56014653614589,9762344,6.390036516623305,0.7904937605240516,-0.734458542828049,24.13557701451438,1.972205902848925,-2.5669912972620557,0.19638955167361669,0.20470231132847921,0.5557395390101841,1.1714368207114083,0.8254563127245221,0.40265543120247976,0.056742679593818526,0.1596105151942798,-1.3292378442628043
10,32.135587578728085,24.684285129819596,9762344,6.171071129451905,0.7754577158817223,-0.6869086122938565,23.312574812344142,1.9410338231495448,-2.423781714269093,0.19210032267229898,0.20163284029279435,0.56962331703731,1.1249572804995946,0.8017944012369428,0.4237367510795593,0.054652102291584015,0.1573697988476072,-1.317212803023202
11,30.797865231831867,23.66361457960946,9762344,5.915903610044292,0.7608217791255032,-0.6399788095482758,22.330248168536595,1.9021364535604204,-2.2603091107947484,0.18607774589742934,0.19810354496751512,0.5869204572268895,1.0943851470947266,0.7873336672782898,0.4379719538348062,0.052903378648417335,0.15571345069578715,-1.3244985384600503
12,29.227532361234935,22.443870340074813,9762344,5.610967557345117,0.7438810031328883,-0.5783614255487918,21.141467230660574,1.850939622947148,-2.066870133791651,0.17647970361368998,0.19278785373483384,0.610434753554208,1.0745731251580375,0.7780894551958356,0.44713988474437166,0.05135016994816916,0.15370708065373556,-1.304150206702096
13,27.35164379505884,20.963151012148177,9762344,5.240787765277284,0.7228561695665121,-0.4973855284707887,19.68862862246377,1.7838537437575204,-1.8303158283233643,0.163504992212568,0.18550274414675577,0.6384898594447544,1.0613163454192025,0.7712092655045646,0.4527995841843741,0.04970110101359231,0.1508589248572077,-1.250515729188919
14,25.08336455765225,19.171951157706125,9762344,4.792987831868231,0.6969735901802777,-0.3974246505115713,17.920731902122498,1.697924132858004,-1.5389640565429414,0.15391627912010467,0.178682518856866,0.6596613611493792,1.0495677505220686,0.7647534268242973,0.45683214919907705,0.047735395708254406,0.14653428218194417,-1.1672280558518
15,22.33241266863687,17.096786771501815,9762344,4.274196680967829,0.6665708321545806,-0.30459157483918325,15.85673098904746,1.5879809600966317,-1.2066831375871385,0.15506438804524286,0.17841738675321853,0.6596875446183341,1.0386716893741064,0.7576103295598712,0.46013296076229643,0.046319657404507907,0.14227465220860072,-1.131503667150225
